epoch,train_loss,loss,exact_accuracy,outcome_accuracy,matrix_outcome_accuracy,top_mean_points,ev_mean_points,ev_exact_accuracy,ev_outcome_accuracy,best_loss,stale_epochs,seconds
1,1.4248440500037518,1.3359563127541527,0.12594716362891664,0.585091132500512,0.584681548228548,1.293262338726193,1.2977677657177964,0.1263567479008806,0.585500716772476,1.3359563127541527,0,3.837
2,1.3337213348304988,1.3195083163298718,0.13004300634855623,0.5889821830841696,0.5887773909481876,1.283432316199058,1.2795412656154004,0.1273807085807905,0.5615400368625845,1.3195083163298718,0,3.815
3,1.306853366076089,1.3318002745921118,0.12328486586115094,0.5793569526930166,0.5685029694859718,1.28363710833504,1.2944910915420849,0.12492320294900676,0.5474093794798279,1.3195083163298718,1,3.981
4,1.2887977052425048,1.3487684709870031,0.13024779848453819,0.5852959246364939,0.5828384190047102,1.3192709399959042,1.3323776366987508,0.1331148883882859,0.5730083964775753,1.3195083163298718,2,3.993
5,1.2682698459198147,1.3636460089913016,0.12205611304525907,0.5771042391972149,0.5744419414294492,1.2318246979315994,1.2520991193938154,0.12123694450133114,0.5533483514233053,1.3195083163298718,3,3.76
6,1.2500291720735295,1.3952044252731164,0.12410403440507885,0.556829817734999,0.5504812615195577,1.2590620520172024,1.2733975015359411,0.1255375793569527,0.5357362277288552,1.3195083163298718,4,4.12
7,1.222402329547319,1.4321968412633659,0.12533278722097072,0.5648167110382961,0.5613352447266025,1.2584476756092566,1.2760597993037068,0.12779029285275445,0.5515052221994675,1.3195083163298718,5,3.81
8,1.1953164013100954,1.4929031372656227,0.12574237149293468,0.5443374974400983,0.5447470817120622,1.2527134958017612,1.2523039115297974,0.12471841081302477,0.5293876715134139,1.3195083163298718,6,3.985
9,1.1752942030316555,1.5736499824607908,0.11918902314151136,0.5527339750153594,0.5476141716158099,1.2377636698750767,1.2371492934671309,0.11734589391767355,0.5408560311284046,1.3195083163298718,7,3.95
10,1.1545893055221195,1.652611046376444,0.10915420847839442,0.5513004300634856,0.5480237558877739,1.2035633831660864,1.2242473889002663,0.11202129838214213,0.5422895760802785,1.3195083163298718,8,3.943
11,1.1192364521458915,1.6978420316745775,0.11570755682981773,0.5429039524882244,0.5373745648167111,1.1925046078230597,1.2052017202539422,0.11611714110178169,0.5261109973377023,1.3195083163298718,9,3.903
12,1.1023557217811684,1.8055863438291235,0.1085398320704485,0.528158918697522,0.5273397501535941,1.1609666188818348,1.1836985459758345,0.11140692197419619,0.5181241040344051,1.3195083163298718,10,3.944
13,1.0667953437172866,1.9674900331239389,0.11202129838214213,0.5381937333606389,0.5371697726807291,1.179397911120213,1.1916854392791316,0.11263567479008806,0.5310260086012697,1.3195083163298718,11,4.045
14,1.0410040334862654,1.9469277439560775,0.10710628711857464,0.5293876715134139,0.5222199467540446,1.1460167929551506,1.1679295515052222,0.11099733770223223,0.5134138849068196,1.3195083163298718,12,4.137
15,1.0167056859223196,2.132349003833409,0.10403440507884497,0.5177145197624411,0.5158713905386033,1.1286094613966824,1.1560516076182674,0.10792545566250256,0.5072701208273602,1.3195083163298718,13,4.135
16,0.9948275357284073,2.1968325601843763,0.10485357362277288,0.5179193118984231,0.5154618062666394,1.139873028875691,1.1499078435388081,0.10567274216670079,0.5117755478189637,1.3195083163298718,14,3.998
17,0.9614208943201895,2.2473757513570853,0.10055293876715134,0.5199672332582429,0.5195576489862789,1.1386442760597992,1.1482695064509523,0.10260086012697113,0.5146426377227115,1.3195083163298718,15,4.008
18,0.9373382940961649,2.4406400538848216,0.09277083759983616,0.528158918697522,0.5306164243293058,1.0880606184722508,1.0892893712881426,0.09215646119189023,0.5248822445218103,1.3195083163298718,16,3.966
19,0.9053570113068349,2.4274163558154522,0.09502355109563793,0.5164857669465492,0.5119803399549457,1.1079254556625027,1.1023960679909892,0.09420438255171001,0.5072701208273602,1.3195083163298718,17,3.949
20,0.8779232773693146,2.540092150061047,0.09318042187180012,0.5068605365553963,0.5068605365553963,1.0948187589596559,1.0931804218718002,0.0923612533278722,0.5033790702437027,1.3195083163298718,18,4.013
21,0.85530365320713,2.6426005263858805,0.09256604546385419,0.527749334425558,0.5250870366577923,1.1001433544951873,1.112430882654106,0.09481875895965595,0.5214007782101168,1.3195083163298718,19,4.041
22,0.8346008480669436,2.6301498897442337,0.09174687691992628,0.5365553962727831,0.5334835142330534,1.0980954331353676,1.1085398320704485,0.09318042187180012,0.5306164243293058,1.3195083163298718,20,4.021
